node,coefficient
"(:FrontEndMicroservice {name: ""Restaurant UI"",degree_aff: 0.0,pagerank: 0.15000000000000002,LCC: 1.0,trianglesCount: 3})",1.0
"(:Microservice {name: ""Delivery"",degree_aff: 2.0,pagerank: 0.20119921875000002,LCC: 1.0,trianglesCount: 1})",1.0
"(:Microservice {name: ""Consumer"",degree_aff: 3.0,pagerank: 0.611185726565915,LCC: 0.8333333333333334,trianglesCount: 5})",0.8333333333333334
"(:Microservice {name: ""Delayed Order Service"",degree_aff: 1.0,pagerank: 0.16593750000000002,LCC: 0.8333333333333334,trianglesCount: 5})",0.8333333333333334
"(:Microservice {name: ""Kitchen"",degree_aff: 4.0,pagerank: 0.641931820315915,LCC: 0.7,trianglesCount: 7})",0.7
"(:Microservice {name: ""Order History"",degree_aff: 1.0,pagerank: 0.16593750000000002,LCC: 0.6,trianglesCount: 6})",0.6
"(:Microservice {name: ""Order"",degree_aff: 6.0,pagerank: 0.9372438793971135,LCC: 0.5,trianglesCount: 14})",0.5
"(:Microservice {name: ""Account"",degree_aff: 3.0,pagerank: 0.7206053614874831,LCC: 0.5,trianglesCount: 5})",0.5
"(:Microservice {name: ""Restaurant"",degree_aff: 4.0,pagerank: 0.8009934474249832,LCC: 0.4666666666666667,trianglesCount: 7})",0.4666666666666667
"(:FrontEndMicroservice {name: ""Api Gateway"",degree_aff: 0.0,pagerank: 0.15000000000000002,LCC: 0.4642857142857143,trianglesCount: 13})",0.4642857142857143
"(:Microservice {name: ""Notification"",degree_aff: 1.0,pagerank: 0.49034698608527555,LCC: 0.0,trianglesCount: 0})",0.0
"(:IntegrationAdapter {name: ""Stripe Adapter"",degree_aff: 1.0,pagerank: 0.456182049561838,LCC: 0.0,trianglesCount: 0})",0.0
"(:IntegrationAdapter {name: ""Twilio Adapter"",degree_aff: 1.0,pagerank: 0.358349445497313,LCC: 0.0,trianglesCount: 0})",0.0
"(:IntegrationAdapter {name: ""Amazon_SES_Adapter"",degree_aff: 1.0,pagerank: 0.358349445497313,LCC: 0.0,trianglesCount: 0})",0.0